meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1285,11291,2026-05-24T20:53:50+00:00,81.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:53:49
1285,11291,2026-05-24T20:54:08+00:00,81.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:54:07
1285,11291,2026-05-24T20:54:16+00:00,18.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:54:15
1285,11291,2026-05-24T20:54:31+00:00,55.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:54:31
1285,11291,2026-05-24T20:54:44+00:00,11.0,35,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:54:44
1285,11291,2026-05-24T20:55:02+00:00,,35,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - YELLOW FLAG INFRINGEMENT (16:25:49)
1285,11291,2026-05-24T20:55:12+00:00,11.0,35,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:55:11
1285,11291,2026-05-24T20:55:34+00:00,31.0,35,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:55:34
1285,11291,2026-05-24T20:55:49+00:00,18.0,36,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:55:48
1285,11291,2026-05-24T20:56:07+00:00,18.0,36,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:56:07
1285,11291,2026-05-24T20:56:12+00:00,31.0,36,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:56:11
1285,11291,2026-05-24T20:56:18+00:00,,36,Other,,,,,INCIDENT INVOLVING CAR 6 (HAD) NOTED - YELLOW FLAG INFRINGEMENT (16:47:57)
1285,11291,2026-05-24T20:56:56+00:00,18.0,36,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:56:56
1285,11291,2026-05-24T20:58:01+00:00,87.0,37,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:58:00
1285,11291,2026-05-24T20:58:19+00:00,87.0,38,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:58:19
1285,11291,2026-05-24T20:58:29+00:00,18.0,38,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:58:29
1285,11291,2026-05-24T20:58:51+00:00,55.0,38,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:58:51
1285,11291,2026-05-24T20:59:05+00:00,55.0,38,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:59:04
1285,11291,2026-05-24T20:59:33+00:00,18.0,38,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:59:33
1285,11291,2026-05-24T20:59:36+00:00,,39,Other,,,,,TURN 13 INCIDENT INVOLVING CAR 6 (HAD) NOTED - MORE THAN ONE CHANGE OF DIRECTION
1285,11291,2026-05-24T20:59:46+00:00,18.0,39,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:59:45
1285,11291,2026-05-24T21:00:36+00:00,77.0,39,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 17:00:36
1285,11291,2026-05-24T21:00:44+00:00,77.0,39,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 17:00:43
1285,11291,2026-05-24T21:01:02+00:00,,40,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 87 (BEA) REVIEWED NO FURTHER INVESTIGATION - YELLOW FLAG INFRINGEMENT (16:26:52)
1285,11291,2026-05-24T21:01:37+00:00,,40,Flag,YELLOW,Sector,11.0,,YELLOW IN TRACK SECTOR 11
1285,11291,2026-05-24T21:01:42+00:00,,40,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1285,11291,2026-05-24T21:02:13+00:00,31.0,41,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 17:02:13
1285,11291,2026-05-24T21:02:20+00:00,55.0,41,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 17:02:19
1285,11291,2026-05-24T21:02:20+00:00,11.0,41,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 17:02:20
1285,11291,2026-05-24T21:03:15+00:00,87.0,41,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 17:03:15
1285,11291,2026-05-24T21:03:23+00:00,87.0,41,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 17:03:23
1285,11291,2026-05-24T21:03:51+00:00,18.0,42,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:03:51
1285,11291,2026-05-24T21:03:56+00:00,18.0,42,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:03:55
1285,11291,2026-05-24T21:04:20+00:00,11.0,42,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 17:04:19
