session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,PER,-7.0,-9.0,-0.0167,0.0,0.5334,0.55,PER
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,PIA,-11.0,-5.5,0.0458,0.0,0.8667,0.55,PIA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,RUS,-3.0,-3.5,-0.0042,0.0,0.2667,0.55,RUS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,ANT,1.0,-2.0,-0.0042,0.0,0.0,0.55,ANT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,BEA,-3.5,-6.5,-0.0042,0.0,0.0,0.55,BEA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,BOR,-0.5,-12.0,-0.075,0.0,-0.8667,0.55,BOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,BOT,-12.5,-8.5,0.0,0.0,0.0,0.55,BOT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,COL,-5.5,12.5,0.0,0.0,0.0,0.55,ALO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,GAS,-6.0,-1.0,0.0,0.0,0.0,0.55,GAS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,HAD,-9.0,-26.0,-0.1208,0.0,-0.7333,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,HAM,-5.0,-12.5,-0.0417,0.0,-0.0667,0.55,HAM
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,HUL,-2.5,-14.0,-0.075,0.0,0.0,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,LAW,-15.0,-16.5,0.0,0.0,0.0,0.55,LAW
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,LEC,-7.5,-12.0,-0.0167,0.0,0.0,0.55,LEC
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,LIN,-3.5,-18.0,-0.1,0.0,-0.8667,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,NOR,-8.0,-3.0,0.0,0.0,0.0,0.55,NOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,OCO,3.0,10.0,0.0,0.0,0.0,0.55,ALO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,PER,-10.0,34.5,0.0,0.0,0.0,0.55,ALO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,PIA,-10.0,-9.5,0.0,0.0,0.0,0.55,PIA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALO,RUS,-2.0,-18.5,-0.1167,0.0,0.0,0.55,RUS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,ANT,-9.5,-2.5,0.0583,0.0,-0.2667,0.55,ANT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,BEA,-8.0,-10.0,-0.0167,0.0,0.2,0.55,BEA
