season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,braking_start_distance_m,braking_duration_s,braking_distance_m,min_speed_during_brake_kph,brake_intensity_proxy,late_brake_score
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4510.421,2.12,91.44,107.0,0.3478,0.1976
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,272.613,1.359,84.925,190.0,0.2143,0.0
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1057.38,0.92,29.711,110.0,0.1429,0.0
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4003.571,2.04,103.944,127.0,0.4211,0.2369
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4514.506,2.281,91.088,106.0,0.32,0.2218
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,265.863,1.801,97.992,161.0,0.3333,0.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1058.961,1.041,32.284,103.0,0.2,0.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3180.25,1.439,102.303,228.0,0.3125,0.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3966.058,2.8,139.3,118.0,0.5263,0.0
